component_id,manufacturer,mpn,quantity,uom,inventory_status
0d299457-ead5-4e8d-b8d8-b54fa3539476,-,-,0.0,,
d2ff99f3-ac85-47fb-a3d1-8f443032575d,3M,10220-6212PC,0.0,,
ecef1b57-bb99-42d8-9319-4ff0629d44b9,3M,10226-6212PC,0.0,,
d007bada-63f3-488e-a005-e4acb0dc6423,3M,10236-2210PE,0.0,,
219af98a-5ed0-4ccd-92d8-d869a03dcdeb,3M,10236-5212PC,0.0,,
72a0eeeb-0871-4442-8429-15e6479cf401,3M,10236-55G3PL,0.0,,
750ea846-c4f8-4215-a503-6de9ac4c6152,3M,10236-6212PC,0.0,,
97fef0bf-088b-4965-aa8f-aded0d0dd956,3M,10250-1210PE,0.0,,
72783025-14cc-4ce1-b9e6-d89e24493efe,3M,10268-55H3PC,0.0,,
68a9d5cb-97f6-4f00-a169-762f0391c7fb,3M,10268-6212PC,0.0,,
df71e63f-4aa1-4e09-ad60-add9660e8360,3M,12226-1150-00FR,0.0,,
fb633f9a-2b20-43c1-bc8b-0249cb8fea82,3M,12226-5150-00FR,0.0,,
b3eb9157-ecee-47ab-b512-c2ef93a60819,3M,214-3339-00-0602J,0.0,,
fa5b2281-939e-4d07-a50a-88529ca96293,3M,228-7396-55-1902,0.0,,
57955114-abfe-463f-b76b-b0f99a00edb0,3M,232-5205-01,0.0,,
e028d68c-ac59-4bf2-a544-ea3134c80dff,3M,288-4205-01,0.0,,
ddd1a7aa-649a-4042-a6bc-afe4447e36d8,3M,3341-5,0.0,,
a089859c-d941-4eb0-bd79-5f7d7257f719,3M,3372-5202RB,0.0,,
5cfd70db-3e2b-49d0-af63-62f753466019,3M,3372-6202RB,0.0,,
3dbc55b2-87e8-4739-b389-9673acdafdc0,3M,3429-5202,0.0,,
f4456b73-51e0-4463-b0f5-bf79f4409971,3M,3429-5302,0.0,,
2056245c-c763-4bb9-b495-a7873da53100,3M,45210-600230,0.0,,
c8ee3e4d-c905-4c58-9658-f11789961e84,3M,45214-600230,0.0,,
1ffe0b8c-88a6-41c0-b879-255ef3355658,3M,45220-600230,0.0,,
900568fd-fad3-4687-af9c-ec7b883d10e1,3M,45220-620230,0.0,,
1a00a347-9f40-47e7-97f2-7beb2b5a6bd0,3M,5120-B7A2PL,0.0,,
c11f7c50-21bc-4fee-9d9c-beeb8d0aee5d,3M,5134-B7A2JL,0.0,,
50e3fc0e-d608-4053-b94b-c81f99acc8a8,3M,5150-B7A2PL,0.0,,
148f6624-6321-4bd4-9377-49a2c2795bbf,3M,5607-4200-SH,0.0,,
b6badcb4-2b0d-4513-9625-708b3e4906e5,3M,6850-4500PL,0.0,,
5bc963ba-10f5-460c-b459-90af489b63bd,3M,81068-660C07,0.0,,
f62d3be8-7769-4bf4-aeb4-659f7bb9f313,3M,8428-21B1-RK,0.0,,
97359fad-e5be-4e71-a60c-e94bfe2ac6f2,3M,8444-11B1-RK-TP,0.0,,
dff96e3e-b3d2-4cfe-b00f-07c26ea00271,3M,8484-11B1-RK-TP,0.0,,
eee347b8-2592-488e-b4dd-9604436693a1,3M,8510-4500PL,0.0,,
87c5b6a6-115f-43ee-a8a5-9b140aba184e,3M,8516-4500PL,0.0,,
32fa3e93-7379-4f7f-8b6c-d5138c82e9df,3M,8520-4500PL,0.0,,
b7ad5a54-e185-4eb3-92ff-f5988dcfed61,3M,9120-4500PL,0.0,,
7196af20-09ba-4f97-9220-472dd233b0a0,3M,9126-4500PL,0.0,,
a7b52fbe-b0d1-40c0-b3c4-d39f3d14e10e,3M,9134-4500PL,0.0,,
